,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
0,https://www.sgcarmart.com/used_cars/info.php?ID=1084163&DL=1107,Lexus,150800,24390,23-Dec-16,116000,2016,1210,Auto,76021,18/4/2022,56222,73200,54901,1704,1998,2070,1,SUV
1,https://www.sgcarmart.com/used_cars/info.php?ID=1066944&DL=3034,Nissan,43900,10280,28-Apr-16,53000,2016,508,Auto,21826,18/4/2022,13026,5000,45504,1469,1198,1044,1,Hatchback
2,https://www.sgcarmart.com/used_cars/info.php?ID=1090341&DL=2756,BMW,52800,15500,17-Nov-14,,2014,684,Auto,33874,18/4/2022,31090,25526,72201,919,1499,1360,2,Hatchback
3,https://www.sgcarmart.com/used_cars/info.php?ID=1075104&DL=1177,Bentley,309000,33870,1-Sep-12,67000,2012,7074,Auto,45357,18/4/2022,189986,189986,49716,3318,5998,2320,3,Sports Car
4,https://www.sgcarmart.com/used_cars/info.php?ID=1090701&DL=3570,Toyota,105800,12730,13-Sep-19,61000,2019,974,Auto,43958,18/4/2022,,29321,36001,2680,1797,1440,,SUV
5,https://www.sgcarmart.com/used_cars/info.php?ID=1080452&DL=3961,Kia,68800,10240,11-Jun-18,67362,2017,738,Auto,32681,18/4/2022,11639,11639,38941,2223,1591,1295,2,Mid-Sized Sedan
6,https://www.sgcarmart.com/used_cars/info.php?ID=1068625&DL=2976,Honda,12800,12940,15-Apr-08,,2008,826,Auto,3823,18/4/2022,13750,15125,19328,37,1339,1010,2,Hatchback
7,https://www.sgcarmart.com/used_cars/info.php?ID=1072539&DL=4031,Mercedes-Benz,72188,10980,12-Nov-08,,2008,3335,Auto,21112,18/4/2022,82934,82934,32121,2374,2997,1850,4,Luxury Sedan
8,https://www.sgcarmart.com/used_cars/info.php?ID=1090240&DL=1360,BMW,38800,16150,29-Nov-13,,2013,742,Auto,26115,18/4/2022,31056,25479,74991,575,1598,1405,2,Luxury Sedan
9,https://www.sgcarmart.com/used_cars/info.php?ID=1070061&DL=2389,Land,116800,19370,12-Jan-16,87000,2015,1212,Auto,78253,18/4/2022,64897,88815,54920,1339,1999,1720,2,SUV
10,https://www.sgcarmart.com/used_cars/info.php?ID=1088470&DL=2870,Toyota,55988,15900,28-Aug-14,92000,2014,1638,Auto,37469,18/4/2022,32045,36863,65001,859,2362,1790,2,MPV
11,https://www.sgcarmart.com/used_cars/info.php?ID=1090881&DL=1163,Volkswagen,79800,15170,29-Jun-16,98000,2016,976,Auto,42322,18/4/2022,32354,32296,46970,1520,1798,1480,2,Luxury Sedan
12,https://www.sgcarmart.com/used_cars/info.php?ID=1077062&DL=2927,BMW,108888,33950,21-Feb-14,113000,2013,2362,Auto,65515,18/4/2022,66994,92590,83000,367,2979,1750,5,Sports Car
13,https://www.sgcarmart.com/used_cars/info.php?ID=1090700&DL=4212,Hyundai,99500,14830,22-May-18,84000,2018,738,Auto,36553,18/4/2022,18172,18172,37605,2223,1591,1594,1,SUV
14,https://www.sgcarmart.com/used_cars/info.php?ID=1083164&DL=3851,Mitsubishi,68800,8640,18-Dec-19,30000,2019,506,Auto,26787,18/4/2022,15031,5031,30000,2774,1193,915,2,Hatchback
15,https://www.sgcarmart.com/used_cars/info.php?ID=1090684&DL=4149,Volkswagen,86000,9340,28-Feb-12,201000,2011,682,Auto,41675,18/4/2022,24168,24168,45272,3347,1390,1417,5,Mid-Sized Sedan
16,https://www.sgcarmart.com/used_cars/info.php?ID=1085173&DL=3745,Honda,105888,11790,27-Mar-20,21000,2018,682,Auto,43160,18/4/2022,23211,24496,31210,2593,1496,1360,1,MPV
17,https://www.sgcarmart.com/used_cars/info.php?ID=1088379&DL=3382,Nissan,28998,12000,17-Sep-09,155237,2008,2332,Auto,9168,18/4/2022,33481,33481,18971,859,2496,1565,3,Luxury Sedan
18,https://www.sgcarmart.com/used_cars/info.php?ID=1090158&DL=3700,Honda,56800,12600,27-May-16,69000,2016,682,Auto,25948,18/4/2022,20054,10076,46009,1498,1496,1190,2,SUV
19,https://www.sgcarmart.com/used_cars/info.php?ID=1090441&DL=2429,BMW,126800,20970,16-Jan-17,106000,2016,1210,Auto,63320,18/4/2022,44597,54436,53106,1708,1997,1735,1,SUV
20,https://www.sgcarmart.com/used_cars/info.php?ID=1077054&DL=2121,Mazda,57800,12100,18-Apr-16,108000,2015,1210,Auto,31000,18/4/2022,18806,18806,47510,1125,1998,1535,1,MPV
21,https://www.sgcarmart.com/used_cars/info.php?ID=1085448&DL=3961,Mitsubishi,51800,8940,23-Oct-17,88621,2017,506,Auto,29548,18/4/2022,14467,5000,46778,2009,1193,940,2,Hatchback
22,https://www.sgcarmart.com/used_cars/info.php?ID=1086640&DL=3915,BMW,87800,8820,30-Oct-12,109000,2012,742,Auto,58936,18/4/2022,26625,26625,59179,3318,1598,1310,2,Hatchback
23,https://www.sgcarmart.com/used_cars/info.php?ID=1043970&DL=3113,Mercedes-Benz,206800,26550,20-Jul-17,72318,2017,2382,Auto,127272,18/4/2022,90326,134587,50110,1916,2996,1940,1,Luxury Sedan
24,https://www.sgcarmart.com/used_cars/info.php?ID=1082098&DL=3133,Peugeot,82800,12830,13-Dec-17,121000,2017,508,Auto,41801,18/4/2022,27475,20465,46778,2039,1199,1270,1,SUV
25,https://www.sgcarmart.com/used_cars/info.php?ID=1082877&DL=2976,Honda,20800,11590,3-Feb-09,,2008,955,Auto,4617,18/4/2022,17995,17995,12864,640,1496,1300,4,MPV
26,https://www.sgcarmart.com/used_cars/info.php?ID=1086954&DL=3723,Mercedes-Benz,60800,17130,18-Jun-15,,2015,740,Auto,29921,18/4/2022,22209,13093,67601,1125,1595,1395,4,Hatchback
27,https://www.sgcarmart.com/used_cars/info.php?ID=1090211&DL=3579,Toyota,69888,14650,8-Jan-16,47000,2015,1210,Auto,42265,18/4/2022,27591,30628,60001,1335,1998,1480,1,Luxury Sedan
28,https://www.sgcarmart.com/used_cars/info.php?ID=1090077&DL=2792,Peugeot,148888,14740,30-Dec-20,28566,2019,742,Auto,73758,18/4/2022,35092,41129,49300,3161,1598,1430,1,SUV
29,https://www.sgcarmart.com/used_cars/info.php?ID=1086313&DL=4156,Volkswagen,132800,14100,15-Jul-20,30000,2019,624,Auto,52429,18/4/2022,29329,33061,33520,2986,1395,1338,1,Stationwagon
30,https://www.sgcarmart.com/used_cars/info.php?ID=1046265&DL=3126,Toyota,15388,,28-Jun-12,94000,2012,742,Auto,8682,18/4/2022,15101,15101,59003,69,1598,1195,2,Mid-Sized Sedan
31,https://www.sgcarmart.com/used_cars/info.php?ID=1078033&DL=2728,Toyota,69800,11310,20-Oct-17,102382,2017,742,Auto,34868,18/4/2022,19990,14990,42902,2006,1598,1230,1,Mid-Sized Sedan
32,https://www.sgcarmart.com/used_cars/info.php?ID=1090053&DL=3908,Nissan,43888,10280,27-Apr-16,,2016,508,Auto,21814,18/4/2022,13026,5000,45504,1468,1198,1044,1,Hatchback
33,https://www.sgcarmart.com/used_cars/info.php?ID=1075381&DL=3137,Honda,68800,9890,28-May-09,,2008,1271,Auto,22968,18/4/2022,19377,19377,33018,2223,1799,1410,5,SUV
34,https://www.sgcarmart.com/used_cars/info.php?ID=1090250&DL=4168,BMW,76800,18270,18-Dec-14,110000,2013,1210,Auto,53400,18/4/2022,52271,56088,74000,949,1997,1690,2,Luxury Sedan
35,https://www.sgcarmart.com/used_cars/info.php?ID=1090388&DL=3283,Volkswagen,51800,13350,30-Oct-15,57000,2014,624,Auto,26263,18/4/2022,19248,9248,57301,1276,1395,1249,3,Hatchback
36,https://www.sgcarmart.com/used_cars/info.php?ID=1086160&DL=3047,Honda,78800,10420,26-Jul-19,10000,2019,578,Auto,24188,18/4/2022,16066,6066,26999,2652,1317,1030,1,Hatchback
37,https://www.sgcarmart.com/used_cars/info.php?ID=1072167&DL=1360,Toyota,53800,7660,27-Apr-09,129995,2009,965,Auto,18394,18/4/2022,16990,16990,26175,2563,1598,1195,3,Mid-Sized Sedan
38,https://www.sgcarmart.com/used_cars/info.php?ID=365241&DL=2409,Rover,45800,6510,22-Jun-93,,1993,1107,Auto,18423,18/4/2022,28891,43337,26175,2557,1590,,,Sports Car
39,https://www.sgcarmart.com/used_cars/info.php?ID=1079821&DL=3898,Volkswagen,76800,10360,22-Oct-18,30000,2018,392,Auto,30637,18/4/2022,18649,18649,25556,2373,999,1257,2,Hatchback
40,https://www.sgcarmart.com/used_cars/info.php?ID=1085012&DL=2938,Mazda,78800,10960,31-Aug-18,67155,2018,682,Auto,29357,18/4/2022,17900,17900,25000,2312,1496,1331,1,Mid-Sized Sedan
41,https://www.sgcarmart.com/used_cars/info.php?ID=1090238&DL=2855,Mercedes-Benz,12800,15680,11-Feb-08,155000,2007,1461,Auto,4129,18/4/2022,49505,54456,25289,273,1796,1540,1,Luxury Sedan
42,https://www.sgcarmart.com/used_cars/info.php?ID=1090326&DL=2010,Honda,130988,12610,14-Apr-22,652,2022,682,Auto,80348,18/4/2022,23468,9856,72996,3321,1496,1250,1,SUV
43,https://www.sgcarmart.com/used_cars/info.php?ID=1068306&DL=1000,BMW,52100,16360,30-Sep-14,63218,2014,742,Auto,31993,18/4/2022,29986,23981,74801,881,1598,1405,3,Luxury Sedan
44,https://www.sgcarmart.com/used_cars/info.php?ID=1084290&DL=2690,Honda,52800,13230,5-Feb-16,91281,2015,682,Auto,20990,18/4/2022,14972,5000,46651,1372,1496,1130,1,Stationwagon
45,https://www.sgcarmart.com/used_cars/info.php?ID=992883&DL=3518,Volkswagen,51800,11450,27-Oct-15,125000,2014,620,Auto,35994,18/4/2022,22062,22887,59889,1283,1390,1536,1,MPV
46,https://www.sgcarmart.com/used_cars/info.php?ID=1088245&DL=4119,Toyota,76800,9650,28-Apr-10,113700,2010,1966,Auto,28178,18/4/2022,35783,35783,35416,2588,2362,1845,2,MPV
47,https://www.sgcarmart.com/used_cars/info.php?ID=1068082&DL=2900,BMW,163500,14490,27-Jan-22,158,2021,684,Auto,93502,18/4/2022,36862,43607,82501,3563,1499,1505,1,MPV
48,https://www.sgcarmart.com/used_cars/info.php?ID=1090685&DL=1032,Toyota,92800,11320,31-Oct-19,29311,2019,682,Auto,35570,18/4/2022,23533,14947,32309,2737,1496,1320,1,MPV
49,https://www.sgcarmart.com/used_cars/info.php?ID=1069308&DL=1428,BMW,166800,14810,31-Jan-22,20,2021,684,Auto,112942,18/4/2022,36862,43607,83911,3557,1499,1505,1,MPV
50,https://www.sgcarmart.com/used_cars/info.php?ID=1090274&DL=2870,Nissan,85988,13360,22-Sep-17,88000,2017,1210,Auto,47824,18/4/2022,24886,26841,51000,1978,1997,1626,2,SUV
51,https://www.sgcarmart.com/used_cars/info.php?ID=1085532&DL=1340,Nissan,64800,12430,16-Dec-16,38889,2016,508,Auto,31965,18/4/2022,18689,13689,48000,1677,1197,1285,2,Mid-Sized Sedan
52,https://www.sgcarmart.com/used_cars/info.php?ID=1085900&DL=3004,Hyundai,48800,11320,9-Dec-15,70000,2015,738,Auto,31409,18/4/2022,15135,15135,59200,1305,1591,1292,3,Mid-Sized Sedan
53,https://www.sgcarmart.com/used_cars/info.php?ID=1089244&DL=2900,Mercedes-Benz,166500,19570,18-Sep-19,6700,2019,586,Auto,60531,18/4/2022,36077,42508,38602,2675,1332,1420,1,Luxury Sedan
54,https://www.sgcarmart.com/used_cars/info.php?ID=1088961&DL=2649,MINI,194900,18410,17-Sep-21,,2021,684,Auto,91273,18/4/2022,36485,43079,62600,3414,1499,1430,1,Hatchback
55,https://www.sgcarmart.com/used_cars/info.php?ID=1084963&DL=1344,Mazda,61800,11900,28-Nov-16,73307,2016,682,Auto,33973,18/4/2022,18819,13819,52668,1679,1496,1321,2,Mid-Sized Sedan
56,https://www.sgcarmart.com/used_cars/info.php?ID=1086614&DL=1344,Mazda,74800,12030,16-Oct-17,61643,2017,1210,Auto,41036,18/4/2022,17342,17342,51000,1982,1998,1532,2,MPV
57,https://www.sgcarmart.com/used_cars/info.php?ID=1090156&DL=1213,Lexus,210800,19810,17-Sep-21,4425,2021,1784,Auto,95299,18/4/2022,40319,48447,62600,3414,2487,1620,1,Luxury Sedan
58,https://www.sgcarmart.com/used_cars/info.php?ID=1074842&DL=3745,Toyota,90888,15940,8-Sep-16,40000,2015,1638,Auto,54041,18/4/2022,35538,41754,56500,1580,2362,1790,3,MPV
59,https://www.sgcarmart.com/used_cars/info.php?ID=1048313&DL=1000,Volkswagen,98888,11810,20-Oct-10,133000,2010,1433,Auto,27567,18/4/2022,33237,33237,32914,3043,1984,1339,5,Sports Car
60,https://www.sgcarmart.com/used_cars/info.php?ID=1077467&DL=1135,BMW,155800,15700,28-Nov-20,28980,2020,684,Auto,61654,18/4/2022,35079,41111,39500,3139,1499,1430,1,SUV
61,https://www.sgcarmart.com/used_cars/info.php?ID=1090723&DL=4189,Volvo,43888,17030,10-Dec-13,118000,2012,742,Auto,29502,18/4/2022,31981,31774,73160,576,1596,1470,2,Luxury Sedan
62,https://www.sgcarmart.com/used_cars/info.php?ID=1089940&DL=2303,Honda,55800,12070,13-Jun-16,99200,2016,684,Auto,27608,18/4/2022,16375,11375,47300,1495,1498,1046,3,Hatchback
63,https://www.sgcarmart.com/used_cars/info.php?ID=1089829&DL=4213,Suzuki,65800,12690,28-Dec-16,59600,2016,736,Auto,32051,18/4/2022,17412,12412,49751,1709,1586,1160,1,SUV
64,https://www.sgcarmart.com/used_cars/info.php?ID=1087139&DL=2189,Audi,151800,21560,2-Mar-18,18000,2017,1194,Auto,60642,18/4/2022,41651,50312,39000,1827,1984,1495,1,Sports Car
65,https://www.sgcarmart.com/used_cars/info.php?ID=1086683&DL=3712,Volvo,208800,26850,31-May-18,51830,2018,1176,Auto,90215,18/4/2022,64926,88867,38501,2222,1969,2099,1,SUV
66,https://www.sgcarmart.com/used_cars/info.php?ID=1090698&DL=3922,Hyundai,93800,14690,24-Jan-18,110000,2017,738,Auto,38191,18/4/2022,18102,18102,42661,2100,1591,1594,1,SUV
67,https://www.sgcarmart.com/used_cars/info.php?ID=1083524&DL=1013,Mercedes-Benz,102800,19490,15-Aug-16,88000,2016,740,Auto,50076,18/4/2022,35663,36929,56000,1557,1595,1425,1,Luxury Sedan
68,https://www.sgcarmart.com/used_cars/info.php?ID=1068882&DL=3873,Mercedes-Benz,279800,31800,10-Aug-18,86000,2018,2382,Auto,139856,18/4/2022,103294,157930,33900,2282,2996,1955,1,Luxury Sedan
69,https://www.sgcarmart.com/used_cars/info.php?ID=1035640&DL=3872,Toyota,9888,15970,14-Jan-08,140405,2007,1458,Auto,3106,18/4/2022,16613,18275,25084,212,1794,1300,3,MPV
70,https://www.sgcarmart.com/used_cars/info.php?ID=1082299&DL=2650,Honda,11500,10760,14-May-08,164800,2008,1369,Auto,4136,18/4/2022,18212,18212,19356,370,1799,1350,3,MPV
71,https://www.sgcarmart.com/used_cars/info.php?ID=1059931&DL=4125,Suzuki,43000,9700,19-Feb-16,95000,2015,610,Auto,25372,18/4/2022,16466,11466,46651,1095,1373,1025,2,Mid-Sized Sedan
72,https://www.sgcarmart.com/used_cars/info.php?ID=1086265&DL=2875,Mercedes-Benz,138888,22970,20-Mar-17,97000,2016,1202,Auto,58929,18/4/2022,42634,51688,46229,1491,1991,1735,2,SUV
73,https://www.sgcarmart.com/used_cars/info.php?ID=1084367&DL=2969,Honda,82800,10790,3-Sep-19,30000,2019,578,Auto,28307,18/4/2022,16333,6333,31917,2680,1318,1052,1,Hatchback
74,https://www.sgcarmart.com/used_cars/info.php?ID=1074156&DL=3466,Honda,15800,10430,24-Oct-08,156000,2008,1036,Auto,4588,18/4/2022,20060,20060,15142,550,1595,1220,5,Mid-Sized Sedan
75,https://www.sgcarmart.com/used_cars/info.php?ID=1088305&DL=4111,Mercedes-Benz,122800,20890,16-Dec-16,97042,2016,1202,Auto,61779,18/4/2022,42010,50814,56206,1677,1991,1480,2,Luxury Sedan
76,https://www.sgcarmart.com/used_cars/info.php?ID=1086356&DL=1107,Nissan,70800,12380,19-Jun-17,31200,2017,508,Auto,33556,18/4/2022,18583,13583,45201,1885,1197,1285,1,SUV
77,https://www.sgcarmart.com/used_cars/info.php?ID=1083586&DL=2756,Toyota,75800,20070,2-Mar-15,,2014,1638,Auto,42154,18/4/2022,31666,36333,70890,731,2362,1970,1,MPV
78,https://www.sgcarmart.com/used_cars/info.php?ID=1081163&DL=1290,Mercedes-Benz,34555,18680,22-Apr-13,,2013,740,Auto,23768,18/4/2022,31746,31445,64209,368,1595,1485,3,Luxury Sedan
79,https://www.sgcarmart.com/used_cars/info.php?ID=1090887&DL=2080,MINI,61800,8290,19-Nov-09,116000,2009,965,Auto,21989,18/4/2022,30075,30075,29485,2707,1598,1105,5,Hatchback
80,https://www.sgcarmart.com/used_cars/info.php?ID=1077847&DL=2792,Kia,89999,9760,7-Oct-20,37749,2019,738,Auto,43607,18/4/2022,14638,14638,38504,3078,1591,1287,1,Mid-Sized Sedan
81,https://www.sgcarmart.com/used_cars/info.php?ID=1036109&DL=2429,Toyota,66800,17910,10-Dec-14,118503,2014,1638,Auto,41996,18/4/2022,33434,38808,71300,941,2362,1940,3,MPV
82,https://www.sgcarmart.com/used_cars/info.php?ID=1054347&DL=1387,Toyota,59800,13670,20-Jul-15,113000,2015,1210,Auto,41221,18/4/2022,27591,30628,69001,1186,1998,1480,1,Luxury Sedan
83,https://www.sgcarmart.com/used_cars/info.php?ID=1084473&DL=3980,Honda,78777,11760,30-Jan-18,44285,2017,682,Auto,40016,18/4/2022,21010,21414,41400,2096,1496,1190,2,SUV
84,https://www.sgcarmart.com/used_cars/info.php?ID=1076495&DL=3350,BMW,177988,16040,30-Nov-21,950,2021,684,Auto,100877,18/4/2022,39508,47312,88000,3496,1499,1435,1,SUV
85,https://www.sgcarmart.com/used_cars/info.php?ID=1083415&DL=1000,Mercedes-Benz,115800,13170,2-Mar-11,86000,2010,1169,Auto,37538,18/4/2022,59434,59434,42683,3193,1796,1575,2,Sports Car
86,https://www.sgcarmart.com/used_cars/info.php?ID=1078124&DL=1354,Volkswagen,156800,15980,5-Mar-21,13339,2020,624,Auto,61908,18/4/2022,26974,29764,51900,2924,1395,1478,1,MPV
87,https://www.sgcarmart.com/used_cars/info.php?ID=1054191&DL=3904,Toyota,247888,22410,24-Nov-21,188,2021,1792,Auto,103061,18/4/2022,51825,65285,72756,3500,2493,2030,1,MPV
88,https://www.sgcarmart.com/used_cars/info.php?ID=1086658&DL=2217,Kia,29800,9790,4-May-10,,2010,886,Auto,10007,18/4/2022,15610,15610,16438,1100,1591,1232,6,Sports Car
89,https://www.sgcarmart.com/used_cars/info.php?ID=1079444&DL=3750,Mercedes-Benz,68800,10130,6-Apr-10,163000,2009,1169,Auto,21291,18/4/2022,51193,51193,31335,2463,1796,1615,3,Luxury Sedan
90,https://www.sgcarmart.com/used_cars/info.php?ID=1090967&DL=4073,Hyundai,102800,11530,27-Oct-20,14000,2020,742,Auto,37844,18/4/2022,18914,8914,36534,3108,1598,1280,1,Mid-Sized Sedan
91,https://www.sgcarmart.com/used_cars/info.php?ID=1072490&DL=2296,Suzuki,73800,8730,3-Nov-10,110000,2010,883,Manual,28028,18/4/2022,15132,15132,33140,3072,1586,1090,5,Hatchback
92,https://www.sgcarmart.com/used_cars/info.php?ID=1080693&DL=1047,BMW,117800,17950,16-Nov-17,54000,2017,684,Auto,58519,18/4/2022,34502,35303,57414,2013,1499,1425,2,Luxury Sedan
93,https://www.sgcarmart.com/used_cars/info.php?ID=1090445&DL=3626,Mazda,35800,12790,24-Nov-14,95000,2014,682,Auto,20670,18/4/2022,14898,5000,67889,945,1496,1339,1,Mid-Sized Sedan
94,https://www.sgcarmart.com/used_cars/info.php?ID=1083149&DL=2792,Toyota,67777,8980,25-Jan-19,16640,2019,182,Auto,15872,18/4/2022,13936,13936,8000,2466,1496,1085,1,Mid-Sized Sedan
95,https://www.sgcarmart.com/used_cars/info.php?ID=1090231&DL=3214,Audi,106800,12380,8-Dec-10,94000,2010,3233,Auto,34511,18/4/2022,58603,58603,40014,3132,3197,1795,2,SUV
96,https://www.sgcarmart.com/used_cars/info.php?ID=1090182&DL=3381,Audi,39800,14660,30-Jun-14,98000,2014,624,Auto,23454,18/4/2022,27209,15093,67290,791,1395,1310,3,Luxury Sedan
